title,url,date_guess
"Agenda - Wexford County Council Meeting - 8th May, 2023",https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-8th-May-2023.pdf,2023
"Agenda - Wexford County Council Special Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels)- 11th April 2023",https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-Special-County-Council-Meeting-Climate-Change-Coastal-Erosion-Coastal-Flooding-Rising-Sea-Levels-11th-April-2023.doc.pdf,11th April 2023
Agenda - Wexford County Council Meeting - 11th April 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-County-Council-Meeting-11th-April-2023.pdf,11th April 2023
Agenda - Wexford County Council Meeting - 13th March 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-County-Council-Meeting-13th-March-2023.pdf,13th March 2023
Agenda - Wexford County Council Meeting - 13th February 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-County-Council-Meeting-13th-February-2023.pdf,13th February 2023
Agenda - Wexford County Council Meeting - 9th January 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-County-Council-Meeting-9th-January-2023_0.pdf,9th January 2023
Agenda - Wexford County Council Meeting - 12th December 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-County-Council-Meeting-12th-December-2022.pdf,12th December 2022
Agenda - Special Meeting of Wexford County Council (Housing) - 5th December 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-Special-Meeting-of-Wexford-County-Council-Housing-5th-December-2022.pdf,5th December 2022
Agenda - Wexford County Council Statutory Budget Meeting - 28th November 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Agenda-Statutory-Budget-Meeting-of-Wexford-County-Council-28th-November-2022.pdf,28th November 2022
Agenda - Wexford County Council Special Meeting - 14th November 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-Housing-14th-November-2022-11-am-13.00-pm.pdf,14th November 2022
Agenda - Wexford County Council Meeting - 14th November 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-14th-November-2022.pdf,14th November 2022
Agenda - Wexford County Council Meeting - 10th October 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/PlansPublications/Agenda-County-Council-Meeting-10th-October-2022.pdf,10th October 2022
Agenda - Wexford County Council Meeting - 12 September,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-12th-September-2022.pdf,
Agenda - Wexford County Council Meeting - 11 July 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-11th-July-2022.pdf,2022
Agenda - Wexford County Council Annual Meeting - 20th June 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Annual-Meeting-of-Wexford-County-Council-20th-June-2022.pdf,20th June 2022
Agenda - Wexford County Council Special Meeting - 13th June 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-Meeting-of-Wexford-County-Council-13th-June-2022.pdf,13th June 2022
Agenda - Wexford County Council Meeting - 13th June 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-13th-June-2022.pdf,13th June 2022
Agenda - Wexford County Council Meeting - 9th May 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-9th-May-2022.pdf,9th May 2022
Agenda - Wexford County Council Meeting - 11th April 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-11th-April-2022.pdf,11th April 2022
Agenda - Wexford County Council Meeting - 28th March 2022,https://www.wexfordcoco.ie/sites/default/files/content/Planning/Council-Meeting-Minutes-28.03.2022.pdf,28th March 2022
Agenda - Wexford County Council Meeting - 14th February 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-14th-February-2022.pdf,14th February 2022
Agenda - Wexford County Council Meeting - 14th January 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-County-Council-Meeting-14th-January-2022.pdf,14th January 2022
Agenda - Wexford County Council Meeting - 10th January 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-County-Council-Meeting-10th-January-2022.pdf,10th January 2022
Agenda - Wexford County Council Meeting - 5th January 2022,https://www.wexfordcoco.ie/sites/default/files/content/Agenda-Special-County-Council-Meeting-5th-January-2022.pdf,5th January 2022
"County Council Meeting Minutes - 14th July, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_July_Meeting_Wexford_County_Council_14_07_25.pdf,2025
"Annual Meeting of Wexford County Council - 23rd June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Annual_Meeting_23_06_25_Minutes.pdf,2025
"Special County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_Special_Meeting_09_06_25.pdf,2025
"County Council Meeting Minutes - 9th June, 2025",https://www.wexfordcoco.ie/sites/default/files/content/Minutes_June_Meeting_Wexford_County_Council_09_06_25.pdf,2025
County Council Meeting Minutes - 12th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_12_05_25_Minutes.pdf,12th May 2025
County Council Special Meeting Minutes (housing) - 6th May 2025,https://www.wexfordcoco.ie/sites/default/files/content/Special_Housing_County_Council_Meeting_06_05_25_Minutes.pdf,6th May 2025
County Council Meeting Minutes - 14th April 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_14_04_25_Minutes.pdf,14th April 2025
County Council Meeting Minutes - 10th March 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_03_25_Minutes.pdf,10th March 2025
County Council Meeting Minutes - 10th February 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_10_02_25_Minutes_0.pdf,10th February 2025
County Council Meeting Minutes - 13th January 2025,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_13_01_25_Minutes_0.pdf,13th January 2025
Special County Council Meeting Minutes - 16th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/Special_County_Council_Meeting_16_12_24_Minutes.pdf,16th December 2024
County Council Meeting Minutes - 9th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_09_12_24_Minutes.pdf,9th December 2024
Statutory Budget Meeting Wexford County Council - 25th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/Statutory_Budget_Meeting_25_11_24_Minutes.pdf,25th November 2024
County Council Meeting Minutes - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_11_11_24_Minutes.pdf,11th November 2024
County Council Meeting Minutes - 14th October 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_Meeting_14_10_24_Minutes.pdf,14th October 2024
