variation,canonical_name
"Sullivan Gary","Joe Sullivan"
"Sullivan Gary","Gary Laffan"
"Sullivan Willie","Joe Sullivan"
"Sullivan Willie","Willie Kavanagh"
"Walsh Sullivan","Oliver Walsh"
"Walsh Sullivan","Joe Sullivan"
"Whelan Garry","Michael Whelan"
"Whelan Garry","Garry Laffan"
"Aidan Pip","Aidan Browne"
"Aidan Pip","Pip Breen"
"Anthony Fleming","Anthony Donohoe"
"Anthony Fleming","John Fleming"
"Barbara O'Rourke","Barbara-Anne Murphy"
"Barbara O'Rourke","John O'Rourke"
"Bell Murphy","Maura Bell"
"Bell Murphy","Bridin Murphy"
"Bolger Bridin","Andrew Bolger"
"Bolger Bridin","Bridin Murphy"
"Breen John","Pip Breen"
"Breen John","John Hegarty"
"Bridin Anne","Bridin Murphy"
"Bridin Anne","Barbara-Anne Murphy"
"Browne Jackser","Aidan Browne"
"Browne Jackser","Jackser Owens"
"Byrne Michael","Cathal Byrne"
"Byrne Michael","Michael Sheehan"
"Carthy Frank","Ger Carthy"
"Carthy Frank","Frank Staples"
"Carthy Staples","Ger Carthy"
"Carthy Staples","Frank Staples"
"Codd-Nolan Jim","Kathleen Codd-Nolan"
"Codd-Nolan Jim","Jim Moore"
"Codd-Nolan Lisa","Kathleen Codd-Nolan"
"Codd-Nolan Lisa","Lisa McDonald"
"Connick Joe","Anthony Connick"
"Connick Joe","Joe Sullivan"
"Devereux Michael","Diarmuid Devereux"
"Devereux Michael","Michael Sheehan"
"Farrell Mary","Mary Farrell"
"Fleming Maura","John Fleming"
"Fleming Maura","Maura Bell"
"Frank Michael","Frank Staples"
"Frank Michael","Michael Sheehan"
"George Gary","George Lawlor"
"George Gary","Gary Laffan"
"Ger Carthy","Ger Carthy"
"Ger Cathal","Ger Carthy"
"Ger Cathal","Cathal Byrne"
"Hegarty Andrew","John Hegarty"
"Hegarty Andrew","Andrew Bolger"
"Hegarty Forde","John Hegarty"
"Hegarty Forde","Tom Forde"
"Hegarty John","John Hegarty"
"Jim Willie","Jim Moore"
"Jim Willie","Willie Kavanagh"
"John Tom","John Hegarty"
"John Tom","Tom Forde"
"Kavanagh Aidan","Paddy Kavanagh"
"Kavanagh Aidan","Aidan Browne"
"Kavanagh Hynes","Paddy Kavanagh"
"Kavanagh Hynes","David Hynes"
"Kelly Kavanagh","Leonard Kelly"
"Kelly Kavanagh","Paddy Kavanagh"
"Laffan Joe","Gary Laffan"
"Laffan Joe","Joe Sullivan"
"Lawlor Kathleen","George Lawlor"
"Lawlor Kathleen","Kathleen Codd-Nolan"
"Lawlor Laffan","George Lawlor"
"Lawlor Laffan","Gary Laffan"
"Mary Mcdonald","Mary Farrell"
