rank,councillor,meetings_attended,apologies_recorded
1,Aib Gaa,1,0
2,Ailg Lama,1,0
3,Anthony Dempsey,1,0
4,Anthony Diarmuid,1,0
5,Anthony Kathleen,1,0
6,Anthony Laffan,1,0
7,As Anthony,1,0
8,Barbara-Anne Kenny,1,0
9,Barden Candidate,1,0
10,Bell Anne,1,0
11,Bell Bridin,1,0
12,Bolger Barden,1,0
13,Bolger Moore,1,0
14,Bolger O'Rourke,1,0
15,Breen Michael,1,0
