councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded
Anthony Laffan,1,0,0,0
As Anthony,1,0,0,0
Barbara-Anne Kenny,1,0,0,0
Barden Candidate,1,0,0,0
Bell Anne,1,0,0,0
Bell Bridin,1,0,0,0
Bolger Barden,1,0,0,0
Bolger Moore,1,0,0,0
Bolger O'Rourke,1,0,0,0
Breen Michael,1,0,0,0
Breen O'Rourke,1,0,0,0
Brid Owens,1,0,0,0
Bridin Jim,1,0,0,0
Browne Joe,1,0,0,0
Buisness The,1,0,0,0
Byrne Breen,1,0,0,0
Byrne On-Line,1,0,0,0
Byrnemalcolm Breenpip,1,0,0,0
Candidate Councillor,1,0,0,0
Carthy David,1,0,0,0
Carthy Garry,1,0,0,0
Cathal Hegarty,1,0,0,0
Cathal Willie,1,0,0,0
Ceo Hse,1,0,0,0
Codd Jim,1,0,0,0
Codd-Nolan Ger,1,0,0,0
Codd-Nolankathleen Carthyger,1,0,0,0
Connick Anthony,1,0,0,0
Connick Codd-Nolan,1,0,0,0
Connick Jim,1,0,0,0
Connick Kathleen,1,0,0,0
Connick Murphy,1,0,0,0
Connick Oliver,1,0,0,0
Cpg Spc,1,0,0,0
Darragh Mcdonald,1,0,1,3
David Hegarty,1,0,0,0
David Jim,1,0,0,0
David John,1,0,0,0
Dempseytony Connickanthony,1,0,0,0
Devereux Anne,1,0,0,0
Devereux Codd-Nolan,1,0,0,0
Devereux Kelly,1,0,0,0
Devereux Lawlor,1,0,0,0
Devereux Lisa,1,0,0,0
Diarmuid Anthony,1,0,0,0
Diarmuid Connick,1,0,0,0
Diarmuid Lawlor,1,0,0,0
Diarmuid Oliver,1,0,0,0
Donal Leonard,1,0,0,0
Donal Sheehan,1,0,0,0
Donal Staples,1,0,0,0
Donal Willie,1,0,0,0
Donohoe Devereux,1,0,9,11
Donohoe Murphy,1,0,0,0
Donohoe Tony,1,0,0,0
Doyle Anthony,1,0,0,0
Doyle Mcdonald,1,0,0,0
Doylekeith Donohoeanthony,1,0,0,0
Dr Dr,1,2,0,0
Etc Nrtc,1,0,0,0
Etc Wbc,1,0,0,0
Farrell Ab,1,0,0,0
Farrell Anne,1,0,0,0
Farrell Doyle,1,0,28,45
Farrell Murphy,1,0,0,0
Fionnatn O'Suilleabhain,1,0,0,0
Fionnt Owens,1,0,0,0
Fionntan John,1,0,0,0
Fionntan O'Suilleabhain,1,0,0,0
Fitzharriswillie Farrellmary,1,0,0,0
Fleming Anne,1,0,0,0
Fleming Bridin,1,0,0,0
Fleming Farrell,1,0,0,0
Fleming Fitzharris,1,0,2,9
Forde Fleming,1,0,1,1
Fordetom Flemingjohn,1,0,0,0
Frank Sheehan,1,0,0,0
Frank Whelan,1,0,0,0
Gary Donal,1,0,0,0
Gary Walsh,1,0,0,0
George Moore,1,0,0,0
